Date,Open,High,Low,Close,Volume
01-14-2019,2580.31,2589.32,2570.41,2582.61,22429
01-15-2019,2585.1,2613.08,2585.1,2610.3,22996
01-16-2019,2614.75,2625.76,2612.68,2616.1,24173
01-17-2019,2609.28,2645.06,2606.36,2635.96,24507
01-18-2019,2651.27,2675.47,2647.58,2670.71,26178
01-22-2019,2657.88,2657.88,2617.27,2632.9,25905
01-23-2019,2643.48,2653.19,2612.86,2638.7,22391
01-24-2019,2638.84,2647.2,2627.01,2642.33,24347
01-25-2019,2657.44,2672.38,2657.33,2664.76,24997
01-28-2019,2644.97,2644.97,2624.06,2643.85,23144
01-29-2019,2644.89,2650.93,2631.05,2640,21490
01-30-2019,2653.62,2690.44,2648.34,2681.05,25447
01-31-2019,2685.49,2708.95,2678.65,2704.1,33838
02-01-2019,2702.32,2716.66,2696.88,2706.53,24315
02-04-2019,2706.49,2724.99,2698.75,2724.87,20706
02-05-2019,2728.34,2738.98,2724.03,2737.7,21757
02-06-2019,2735.05,2738.08,2724.15,2731.61,20563
02-07-2019,2717.53,2719.32,2687.26,2706.05,24494
02-08-2019,2692.36,2708.07,2681.83,2707.88,22193
02-11-2019,2712.4,2718.05,2703.79,2709.8,19778
02-12-2019,2722.61,2748.19,2722.61,2744.73,22903
02-13-2019,2750.3,2761.85,2748.63,2753.03,21420
02-14-2019,2743.5,2757.9,2731.23,2745.73,21412
02-15-2019,2760.24,2775.66,2760.24,2775.6,23852
02-19-2019,2769.28,2787.33,2767.29,2779.76,19844
02-20-2019,2779.05,2789.88,2774.06,2784.7,21392
02-21-2019,2780.24,2781.58,2764.55,2774.88,19795
02-22-2019,2780.67,2794.2,2779.11,2792.67,20878
02-25-2019,2804.35,2813.49,2794.99,2796.11,23036
02-26-2019,2792.36,2803.12,2789.47,2793.9,20333
02-27-2019,2787.5,2795.76,2775.13,2792.38,20539
02-28-2019,2788.11,2793.73,2782.51,2784.49,24929
03-01-2019,2798.22,2808.02,2787.38,2803.69,22504
03-04-2019,2814.37,2816.88,2767.66,2792.81,22459
03-05-2019,2794.41,2796.44,2782.97,2789.65,21184
03-06-2019,2790.27,2790.27,2768.69,2771.45,21115
03-07-2019,2766.53,2767.25,2739.09,2748.93,22810
03-08-2019,2730.79,2744.13,2722.27,2743.07,19715
03-11-2019,2747.61,2784,2747.61,2783.3,20547
03-12-2019,2787.34,2798.32,2786.73,2791.52,19955
03-13-2019,2799.78,2821.24,2799.78,2810.92,21625
03-14-2019,2810.38,2815,2803.46,2808.48,20530
03-15-2019,2810.79,2830.73,2810.79,2822.48,37349
03-18-2019,2822.61,2835.41,2821.99,2832.94,20314
03-19-2019,2840.76,2852.42,2823.27,2832.57,22435
03-20-2019,2831.34,2843.54,2812.43,2824.23,22893
03-21-2019,2819.72,2860.31,2817.38,2854.88,23232
03-22-2019,2844.52,2846.16,2800.47,2800.71,24854
03-25-2019,2796.01,2809.79,2785.02,2798.36,19314
03-26-2019,2812.66,2829.87,2803.99,2818.46,19176
03-27-2019,2819.72,2825.56,2787.72,2805.37,19182
03-28-2019,2809.4,2819.71,2798.77,2815.44,17748
03-29-2019,2828.27,2836.03,2819.23,2834.4,21844
04-01-2019,2848.63,2869.4,2848.63,2867.19,20659
04-02-2019,2868.24,2872.9,2858.75,2867.24,18749
04-03-2019,2876.09,2885.25,2865.17,2873.4,22161
04-04-2019,2873.99,2881.28,2867.14,2879.39,17409
04-05-2019,2884.16,2893.24,2882.99,2892.74,17473
04-08-2019,2888.46,2895.95,2880.78,2895.77,17443
04-09-2019,2886.58,2886.88,2873.33,2878.2,17125
04-10-2019,2881.37,2889.71,2879.13,2888.21,15958
04-11-2019,2891.92,2893.42,2881.99,2888.32,16256
04-12-2019,2900.86,2910.54,2898.37,2907.41,21751
04-15-2019,2908.32,2909.6,2896.48,2905.58,17199
04-16-2019,2912.26,2916.06,2900.71,2907.06,20592
04-17-2019,2916.04,2918,2895.45,2900.45,23101
04-18-2019,2904.81,2908.4,2891.9,2905.03,20792
04-22-2019,2898.78,2909.51,2896.35,2907.97,17475
04-23-2019,2909.99,2936.31,2908.53,2933.68,21719
04-24-2019,2934,2936.83,2926.05,2927.25,20356
04-25-2019,2928.99,2933.1,2912.84,2926.17,20894
04-26-2019,2925.81,2939.88,2917.56,2939.88,20805
04-29-2019,2940.58,2949.52,2939.35,2943.03,18489
04-30-2019,2937.14,2948.22,2924.11,2945.83,23643
05-01-2019,2952.33,2954.13,2923.36,2923.73,22272
05-02-2019,2922.16,2931.68,2900.5,2917.52,21360
05-03-2019,2929.21,2947.85,2929.21,2945.64,18807
05-06-2019,2908.89,2937.32,2898.21,2932.47,18574
05-07-2019,2913.03,2913.03,2862.6,2884.05,22836
05-08-2019,2879.61,2897.96,2873.28,2879.42,19194
05-09-2019,2859.84,2875.97,2836.4,2870.72,21226
05-10-2019,2863.1,2891.31,2825.39,2881.4,20045
05-13-2019,2840.19,2840.19,2801.43,2811.87,23242
05-14-2019,2820.12,2852.54,2820.12,2834.41,19473
05-15-2019,2820.38,2858.68,2815.08,2850.96,18778
05-16-2019,2855.8,2892.15,2855.8,2876.32,19255
05-17-2019,2858.6,2885.48,2854.23,2859.53,18878
05-20-2019,2841.94,2853.86,2831.29,2840.23,18997
05-21-2019,2854.02,2868.88,2854.02,2864.36,18020
05-22-2019,2856.06,2865.47,2851.11,2856.27,17942
05-23-2019,2836.7,2836.7,2805.49,2822.24,22254
05-24-2019,2832.41,2841.36,2820.19,2826.06,16014
05-28-2019,2830.03,2840.51,2801.58,2802.39,25072
05-29-2019,2790.25,2792.03,2766.06,2783.02,21005
05-30-2019,2786.94,2799,2776.74,2788.86,17580
05-31-2019,2766.15,2768.98,2750.52,2752.06,22062
06-03-2019,2751.53,2763.07,2728.81,2744.45,24212
06-04-2019,2762.64,2804.49,2762.64,2803.27,22942
06-05-2019,2818.09,2827.28,2800.92,2826.15,20312
06-06-2019,2828.51,2852.1,2822.45,2843.49,19495
06-07-2019,2852.87,2884.97,2852.87,2873.34,18485
06-10-2019,2885.83,2904.77,2885.51,2886.73,18548
06-11-2019,2903.27,2910.61,2878.53,2885.72,20382
06-12-2019,2882.73,2888.57,2874.68,2879.84,16189
06-13-2019,2886.24,2895.24,2881.99,2891.64,16390
06-14-2019,2886.82,2894.45,2879.62,2886.98,15630
06-17-2019,2889.75,2897.27,2887.3,2889.67,15793
06-18-2019,2906.71,2930.79,2905.44,2917.75,20038
06-19-2019,2920.55,2931.74,2911.43,2926.46,18642
06-20-2019,2949.6,2958.06,2931.5,2954.18,20577
06-21-2019,2952.71,2964.15,2946.87,2950.46,30332
06-24-2019,2951.42,2954.92,2944.05,2945.35,17332
06-25-2019,2945.78,2946.52,2916.01,2917.38,20200
06-26-2019,2926.07,2932.59,2912.99,2913.78,20056
06-27-2019,2919.66,2929.3,2918.57,2924.92,17258
06-28-2019,2932.94,2943.98,2929.05,2941.76,29597
07-01-2019,2971.41,2977.93,2952.22,2964.33,20421
07-02-2019,2964.66,2973.21,2955.92,2973.01,16568
07-03-2019,2978.08,2995.84,2977.96,2995.82,10939
07-05-2019,2984.25,2994.03,2967.97,2990.41,12874
07-08-2019,2979.77,2980.76,2970.09,2975.95,15540
07-09-2019,2965.52,2981.9,2963.44,2979.63,16365
07-10-2019,2989.3,3002.98,2984.62,2993.07,16436
07-11-2019,2999.62,3002.33,2988.8,2999.91,17311
07-12-2019,3003.36,3013.92,3001.87,3013.77,16096
07-15-2019,3017.8,3017.8,3008.77,3014.3,16040
07-16-2019,3012.13,3015.02,3001.15,3004.04,17426
07-17-2019,3005.1,3005.26,2984.25,2984.42,17433
07-18-2019,2978.87,2998.28,2973.09,2995.11,17936
07-19-2019,3004.26,3006.02,2975.86,2976.61,18727
07-22-2019,2981.93,2990.71,2976.65,2985.03,16670
07-23-2019,2994.74,3005.9,2988.56,3005.47,18707
07-24-2019,2998.77,3019.59,2996.82,3019.56,19252
07-25-2019,3016.26,3016.31,2997.24,3003.67,19777
07-26-2019,3013.25,3027.98,3012.59,3025.86,18073
07-29-2019,3024.47,3025.61,3014.3,3020.97,17613
07-30-2019,3007.66,3017.19,3000.94,3013.18,18375
07-31-2019,3016.22,3017.4,2958.08,2980.38,27316
08-01-2019,2980.32,3013.59,2945.23,2953.56,27071
08-02-2019,2943.9,2945.5,2914.11,2932.05,22103
08-05-2019,2898.07,2898.07,2822.12,2844.74,26150
08-06-2019,2861.18,2884.4,2847.42,2881.77,21772
08-07-2019,2858.65,2892.17,2825.71,2883.98,23609
08-08-2019,2896.21,2938.72,2894.47,2938.09,22095
08-09-2019,2930.51,2935.75,2900.15,2918.65,18886
08-12-2019,2907.07,2907.58,2873.14,2883.09,14404
08-13-2019,2880.72,2943.31,2877.05,2926.32,21293
08-14-2019,2894.15,2894.15,2839.64,2840.6,25434
08-15-2019,2846.2,2856.67,2825.51,2847.6,24211
08-16-2019,2864.74,2893.63,2864.74,2888.68,20631
08-19-2019,2913.48,2931,2913.48,2923.65,17795
08-20-2019,2919.01,2923.63,2899.6,2900.51,16786
08-21-2019,2922.04,2928.73,2917.91,2924.43,15874
08-22-2019,2930.94,2939.08,2904.51,2922.95,15867
08-23-2019,2911.07,2927.01,2834.97,2847.11,23537
08-26-2019,2866.7,2879.27,2856,2878.38,15940
08-27-2019,2893.14,2898.79,2860.59,2869.16,19491
08-28-2019,2861.28,2890.03,2853.05,2887.94,16572
08-29-2019,2910.37,2930.5,2905.67,2924.58,16205
08-30-2019,2937.09,2940.43,2913.32,2926.46,16096
